data_year,criminal_act_id,offense_id
2024,6,220938049
2024,6,220938070
2024,6,220938032
2024,6,220938040
2024,6,220938050
2024,6,220939436
2024,6,220939437
2024,6,220939470
2024,6,220939471
2024,6,220939518
2024,6,220939519
2024,6,220939546
2024,6,220939547
2024,6,227560814
2024,6,220938099
2024,6,220938103
2024,6,220938104
2024,6,220938112
2024,6,220938153
2024,6,227560870
2024,6,220938089
2024,6,220938122
2024,6,227558674
2024,6,220938121
2024,6,220938127
2024,6,227558742
2024,6,227558771
2024,6,227558820
2024,6,227558618
2024,6,227558619
2024,6,227560651
2024,6,227560652
2024,6,227560723
2024,6,227560775
2024,6,227560776
2024,6,227560862
2024,6,227560946
2024,6,227558866
2024,6,227558750
2024,6,227558780
2024,6,227558892
2024,6,227558926
2024,6,227558927
2024,6,227558972
2024,6,227559041
2024,6,227558779
2024,6,227558921
2024,6,227558957
2024,6,227559038
2024,6,227559039
2024,1,227559066
2024,6,227559194
2024,6,227559287
2024,6,227559288
2024,6,227559355
2024,6,227558959
2024,6,227558960
2024,6,227559127
2024,6,227559172
2024,6,227559173
2024,6,227559221
2024,6,227558940
2024,6,227559086
2024,6,227559087
2024,6,230341284
2024,6,233107510
2024,6,233107173
2024,6,233107339
2024,2,233107432
2024,6,233107323
2024,3,233107437
2024,6,233107560
2024,6,233107717
2024,12,246530150
2024,14,246530120
2024,1,246532173
2024,8,246530176
2024,6,246530295
2024,6,240463225
2024,6,240463273
2024,6,246530248
2024,6,246530346
2024,6,246530347
2024,6,246530442
2024,6,246530367
2024,6,246530368
2024,1,246530581
2024,3,225763193
2024,3,225763194
2024,3,225763230
2024,1,225763231
2024,1,225763232
2024,1,225762989
2024,1,225762990
2024,3,225706072
2024,1,225706073
2024,1,225706059
2024,1,225706061
2024,1,225706062
2024,14,225706065
2024,6,233097722
2024,8,233097755
2024,1,233097759
2024,1,233097760
2024,2,233097797
2024,1,233097726
2024,1,233097727
2024,6,233097728
2024,6,233097731
2024,1,233097743
2024,12,233097751
2024,1,233097753
2024,1,233097754
2024,3,233097765
2024,6,233097763
2024,6,233097764
2024,6,233097773
2024,1,233097778
2024,1,233097779
2024,1,233097780
2024,6,233097748
2024,6,233097749
2024,6,233097767
2024,6,233097768
2024,3,240455360
2024,3,240455403
2024,6,240455409
2024,6,240455410
2024,1,240456773
2024,1,240456774
2024,6,240455376
2024,3,240455402
2024,3,240455447
