data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,59966690,196412752,2,2024-06-12,1,N,26A,48,45,M,20,20,U,,,45,
2024,59966701,196412781,1,2024-06-12,1,N,26A,26,23,M,20,20,U,,,23,
2024,59966711,196412817,1,2024-06-12,2,N,26A,26,23,M,20,20,U,,,23,
2024,59966720,196412841,1,2024-06-12,2,N,26A,32,29,F,20,20,U,,,29,
2024,59966644,196412583,1,2024-06-12,2,N,26A,45,42,M,20,20,U,,,42,
2024,59966665,196412654,1,2024-06-12,2,N,26A,24,21,M,20,20,U,,,21,
2024,59966673,196412698,1,2024-06-12,2,N,26A,66,63,M,20,20,U,,,63,
2024,59966684,196412733,1,2024-06-12,1,N,26A,45,42,M,20,20,U,,,42,
2024,59966696,196412770,1,2024-06-12,1,N,35A,24,21,M,20,20,U,,,21,
2024,59966706,196412797,1,2024-06-12,1,N,26A,62,59,M,20,20,U,,,59,
2024,59966715,196412832,1,2024-06-12,2,N,26A,62,59,M,20,20,U,,,59,
2024,59966728,196412864,1,2024-06-12,2,N,26A,27,24,F,20,20,U,,,24,
2024,59966653,196412616,1,2024-06-12,1,N,35A,37,34,M,20,20,U,,,34,
2024,59966722,196412848,1,2024-06-13,2,N,26A,46,43,M,20,20,U,,,43,
2024,59966734,196412882,4,2024-06-13,1,N,26A,63,60,M,20,20,U,,,60,
2024,59966695,196412765,1,2024-06-13,2,N,26A,26,23,M,20,20,U,,,23,
2024,62055574,202845303,1,2024-06-13,1,N,26A,51,48,M,20,20,U,,,48,
2024,59966149,196411106,1,2024-06-13,2,N,26A,39,36,F,20,20,U,,,36,
2024,59966737,196412896,1,2024-06-13,2,N,26A,38,35,M,20,20,U,,,35,
2024,59966677,196412706,1,2024-06-13,2,N,26A,51,48,M,20,20,U,,,48,
2024,59966691,196412754,1,2024-06-13,2,N,26A,32,29,M,20,20,U,,,29,
2024,59966703,196412790,1,2024-06-13,2,N,26A,52,49,M,20,20,U,,,49,
2024,59966714,196412826,1,2024-06-13,2,N,26A,35,32,M,20,20,U,,,32,
2024,59966723,196412850,1,2024-06-13,2,N,26A,33,30,M,20,20,U,,,30,
2024,59966731,196412877,1,2024-06-13,2,N,26A,62,59,M,20,20,U,,,59,
2024,59966742,196412915,1,2024-06-13,2,N,26A,46,43,M,20,20,U,,,43,
2024,59966744,196412918,1,2024-06-13,1,N,26A,32,29,M,20,20,U,,,29,
2024,59966753,196412947,1,2024-06-13,2,N,26A,32,29,M,20,20,U,,,29,
2024,59966762,196412976,1,2024-06-13,2,N,26A,21,18,M,20,20,U,,,18,
2024,59966702,196412788,1,2024-06-13,2,N,26A,44,41,M,20,20,U,,,41,
2024,59966712,196412823,2,2024-06-13,2,N,26A,28,25,M,20,20,U,,,25,
2024,59966724,196412856,1,2024-06-13,1,N,26A,44,41,M,20,20,U,,,41,
2024,59966732,196412879,1,2024-06-13,2,N,26A,26,23,M,10,20,U,,,23,
2024,59966740,196412911,1,2024-06-13,1,N,26A,24,21,M,20,20,U,,,21,
2024,59966748,196412931,1,2024-06-13,2,N,26A,38,35,M,20,20,U,,,35,
2024,59966125,196411036,1,2024-06-14,2,N,26A,63,60,M,20,20,U,,,60,
2024,59966752,196412945,1,2024-06-14,1,N,26A,59,56,F,20,20,U,,,56,
2024,59966137,196411071,2,2024-06-14,1,N,26A,25,22,M,20,20,U,,,22,
2024,59966150,196411107,1,2024-06-14,2,N,26A,41,38,M,10,20,U,,,38,
2024,59966768,196412992,1,2024-06-14,2,N,26A,46,43,F,20,10,U,,,43,
2024,59966779,196413024,1,2024-06-14,2,N,26A,23,20,M,20,20,U,,,20,
2024,59966788,196413056,1,2024-06-14,2,N,26A,41,38,M,20,20,U,,,38,
2024,59966804,196413086,1,2024-06-14,2,N,26A,33,30,F,20,20,U,,,30,
2024,59966820,196413125,1,2024-06-14,2,N,26A,30,27,F,20,20,U,,,27,
2024,59966832,196413156,1,2024-06-14,2,N,26A,44,41,M,20,20,U,,,41,
2024,59966848,196413192,1,2024-06-14,2,N,26A,58,55,M,20,20,U,,,55,
2024,59966738,196412903,1,2024-06-14,2,N,26A,27,24,M,20,20,U,,,24,
2024,59966775,196413010,1,2024-06-14,2,N,26A,37,34,M,20,20,U,,,34,
2024,59966785,196413046,1,2024-06-14,2,N,26A,41,38,M,20,20,U,,,38,
2024,59966819,196413124,1,2024-06-14,2,N,26A,64,61,M,20,20,U,,,61,
2024,59966833,196413158,1,2024-06-14,1,N,26A,54,51,F,20,20,U,,,51,
2024,59966852,196413194,1,2024-06-14,1,N,35A,22,19,M,20,20,U,,,19,
2024,59966759,196412957,1,2024-06-15,2,N,26A,28,25,F,20,20,U,,,25,
2024,59966763,196412974,1,2024-06-15,2,N,26A,24,21,M,20,20,U,,,21,
2024,59966764,196412977,1,2024-06-15,2,N,26A,24,21,F,20,20,U,,,21,
2024,59966777,196413016,1,2024-06-15,1,N,35A,27,24,M,20,20,U,,,24,
2024,59966787,196413051,1,2024-06-17,1,N,13B,50,47,M,20,20,U,,,47,
2024,59966166,196411134,1,2024-06-15,1,N,13B,23,20,M,20,20,U,,,20,
2024,59966797,196413074,1,2024-06-15,2,N,26A,45,42,M,20,20,U,,,42,
2024,59966812,196413105,1,2024-06-15,1,N,26A,24,21,M,20,20,U,,,21,
2024,59966761,196412962,1,2024-06-16,1,N,11D,27,24,M,20,20,U,,,24,
2024,59966770,196412994,1,2024-06-16,2,N,26A,33,30,M,20,20,U,,,30,
2024,59966791,196413065,1,2024-06-16,2,N,26A,34,31,M,20,20,U,,,31,
2024,59966805,196413089,1,2024-06-16,1,N,13B,31,28,M,20,20,U,,,28,
2024,59966802,196413081,1,2024-06-17,2,N,26A,51,48,M,20,20,U,,,48,
2024,59966815,196413112,1,2024-06-17,2,N,26A,56,53,M,20,20,U,,,53,
2024,59966830,196413145,1,2024-06-17,2,N,26A,49,46,M,20,20,U,,,46,
2024,59966843,196413181,1,2024-06-17,2,N,26A,35,32,M,20,20,U,,,32,
2024,59966871,196413223,2,2024-06-17,1,N,26A,35,32,M,20,20,U,,,32,
2024,59966765,196412975,1,2024-06-17,2,N,26A,51,48,M,20,20,U,,,48,
2024,59966774,196413007,1,2024-06-17,2,N,26A,38,35,M,20,20,U,,,35,
2024,59966783,196413043,1,2024-06-17,2,N,26A,32,29,M,20,20,U,,,29,
2024,59966136,196411066,1,2024-06-17,2,N,26A,41,38,M,20,20,U,,,38,
2024,59966827,196413135,1,2024-06-17,2,N,35A,32,29,M,10,20,U,,,29,
2024,59966838,196413168,1,2024-06-17,2,N,26A,23,20,F,20,20,U,,,20,
2024,59966855,196413200,4,2024-06-17,2,N,26A,27,24,M,20,20,U,,,24,
2024,59966885,196413249,1,2024-06-17,1,N,26A,58,55,M,20,20,U,,,55,
2024,59966901,196413282,1,2024-06-17,2,N,26A,50,47,F,20,20,U,,,47,
2024,59966916,196413311,1,2024-06-17,2,N,26A,42,39,M,20,20,U,,,39,
2024,59966782,196413035,1,2024-06-17,2,N,26A,64,61,F,10,10,U,,,61,
2024,59966790,196413064,1,2024-06-17,2,N,26A,36,33,M,20,20,U,,,33,
2024,59966876,196413229,1,2024-06-17,2,N,26A,69,66,M,20,20,U,,,66,
2024,59966889,196413261,1,2024-06-17,2,N,26A,44,41,M,20,20,U,,,41,
2024,59966910,196413300,1,2024-06-17,2,N,26A,33,30,M,20,20,U,,,30,
2024,59966794,196413071,1,2024-06-17,2,N,26A,23,20,M,20,20,U,,,20,
2024,59966807,196413097,1,2024-06-17,2,N,26A,21,18,M,20,20,U,,,18,
2024,59966818,196413123,1,2024-06-17,2,N,26A,24,21,F,20,20,U,,,21,
2024,59966840,196413176,1,2024-06-17,2,N,26A,63,60,M,20,20,U,,,60,
2024,59966868,196413215,1,2024-06-17,2,N,35A,27,24,M,20,20,U,,,24,
2024,59966904,196413288,1,2024-06-18,1,N,26A,38,35,M,20,20,U,,,35,
2024,59966806,196413090,1,2024-06-18,2,N,26A,66,63,M,20,20,U,,,63,
2024,59966817,196413120,1,2024-06-18,1,N,26A,60,57,M,20,20,U,,,57,
2024,59966143,196411098,1,2024-06-18,1,N,26A,40,37,M,20,20,U,,,37,
2024,59966844,196413183,1,2024-06-18,1,N,26A,43,40,M,20,20,U,,,40,
2024,59966861,196413208,1,2024-06-18,2,N,26A,27,24,M,20,20,U,,,24,
2024,59966863,196413208,2,2024-06-18,2,N,26A,31,28,F,20,20,U,,,28,
2024,59966886,196413250,1,2024-06-18,2,N,26A,70,67,M,20,20,U,,,67,
2024,59966902,196413284,1,2024-06-18,2,N,26A,36,33,F,20,20,U,,,33,
2024,59966813,196413108,1,2024-06-18,2,N,26A,34,31,M,20,20,U,,,31,
2024,59966826,196413132,1,2024-06-18,2,N,26A,34,31,F,20,20,U,,,31,
2024,59966836,196413169,1,2024-06-18,2,N,26A,79,76,M,10,20,U,,,76,
2024,59966859,196413205,3,2024-06-18,1,N,290,30,27,M,20,20,U,,,27,
2024,59966881,196413235,1,2024-06-18,2,N,26A,68,65,F,20,20,U,,,65,
2024,59966890,196413262,1,2024-06-18,2,N,26A,27,24,F,20,20,U,,,24,
2024,59966929,196413331,1,2024-06-18,2,N,26A,38,35,M,20,20,U,,,35,
2024,59966948,196413368,1,2024-06-18,2,N,26A,29,26,M,20,20,U,,,26,
2024,59966831,196413149,1,2024-06-18,1,N,26A,46,43,M,20,20,U,,,43,
2024,59966842,196413178,1,2024-06-18,2,N,26A,47,44,M,20,20,U,,,44,
2024,59966865,196413212,1,2024-06-18,2,N,26A,24,21,M,20,20,U,,,21,
2024,62055553,202845259,1,2024-06-18,1,N,26A,25,22,M,10,20,U,,,22,
2024,62055562,202845277,1,2024-06-18,1,N,26A,25,22,M,20,20,U,,,22,
2024,59966167,196411135,4,2024-07-06,3,N,13B,46,43,F,20,20,U,,,43,
2024,59966953,196413374,1,2024-06-19,1,N,26A,34,31,M,20,20,U,,,31,
2024,59966822,196413127,1,2024-06-19,2,N,26A,29,26,M,20,20,U,,,26,
