yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
35902024,3590,2024,GA0280500,GA0280500,,N,N,,I,WOODSTOCK,WOODSTOCK PD,Woodstock,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,39613,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,47,0,47,5,7,12,1.3,1.5,2018-01-01,2019-09-01,2019-09-01,2019-11-01,2019-11-01,2019-11-01,N,CHEROKEE,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
35922024,3592,2024,GA0280700,GA0280700,,N,N,,I,CHEROKEE CTY BOARD OF ED,CHEROKEE CAMPUS PD CANTON,Cherokee County Board of Education,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,Other,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,24,3,27,6,2,8,0,0,2018-01-01,2019-10-01,2019-10-01,2019-11-01,2019-11-01,2019-11-01,N,CHEROKEE,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
35942024,3594,2024,GA0280900,GA0280900,,N,N,,I,CHEROKEE COUNTY MARSHAL,CHEROKEE COUNTY MARSHAL'S OFFICE,Cherokee County Marshal,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,Other,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,12,4,16,2,7,9,0,0,2018-01-01,2019-02-01,2019-02-01,,2020-03-01,2020-03-01,N,CHEROKEE,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
35962024,3596,2024,GA0290000,GA0290000,,N,N,,I,CLARKE,CLARKE CO SO ATHENS,Clarke,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,69,8,77,32,38,70,0,0,2018-01-01,2019-01-01,2019-01-01,,,,N,CLARKE,"Athens-Clarke County, GA",Y,Y,Y
35972024,3597,2024,GA0290100,GA0290100,,N,N,,I,ATHENS-CLARKE COUNTY,ATHENS-CLARKE COUNTY POLICE DEPARTMENT ATHENS,Athens-Clarke County,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,129765,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,201,13,214,34,45,79,1.8,2.3,2018-01-01,2018-01-01,2018-01-01,2019-12-01,2019-12-01,2019-12-01,N,CLARKE,"Athens-Clarke County, GA",Y,Y,Y
35982024,3598,2024,GA0290200,GA0290200,,N,N,,I,UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA PD ATHENS,University of Georgia,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,68,21,89,12,21,33,0,0,2018-01-01,2019-08-01,2019-08-01,2020-02-01,2020-02-01,2020-02-01,N,CLARKE,"Athens-Clarke County, GA",Y,Y,Y
36012024,3601,2024,GA0300000,GA0300000,,N,N,,I,CLAY,CLAY CO SO FORT GAINES,Clay,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,2873,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,0,9,0,1,1,3.1,3.5,2018-01-01,2019-06-01,2019-06-01,2020-07-01,2020-07-01,2020-07-01,N,CLAY,Not Specified,Y,Y,Y
36042024,3604,2024,GA0310100,GA0310100,,N,N,,I,CLAYTON COUNTY POL DEPT,CLAYTON COUNTY PD JONESBORO,Clayton County Police Department,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,236315,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,211,19,230,81,109,190,1.2,1.8,2018-01-01,2019-06-01,2019-06-01,2019-10-01,2019-10-01,2019-10-01,N,CLAYTON,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36052024,3605,2024,GA0310200,GA0310200,,N,N,,I,FOREST PARK,FOREST PARK PD,Forest Park,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,19232,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,68,5,73,19,21,40,4.5,5.9,2018-01-01,2019-10-01,2019-10-01,2020-01-01,2020-01-01,2020-01-01,N,CLAYTON,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36062024,3606,2024,GA0310300,GA0310300,,N,N,,I,MORROW,MORROW PD,Morrow,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,6307,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,30,0,30,5,4,9,5.5,6.2,2018-01-01,2019-10-01,2019-10-01,2020-04-01,2020-04-01,2020-04-01,N,CLAYTON,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36092024,3609,2024,GA0310600,GA0310600,,N,N,,I,LAKE CITY,LAKE CITY PD LAKE CITY,Lake City,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,2876,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,1,2,2.4,2.8,2018-01-01,2018-09-01,2018-09-01,2019-06-01,2019-06-01,2019-06-01,N,CLAYTON,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
