county_name,offense_name,offense_count,offense_rank
"CARROLL, DOUGLAS",Theft From Motor Vehicle,28,4
"CARROLL, DOUGLAS",Destruction/Damage/Vandalism of Property,24,5
"CARROLL, HARALSON",All Other Larceny,83,1
"CARROLL, HARALSON",Shoplifting,57,2
"CARROLL, HARALSON",Drug/Narcotic Violations,55,3
"CARROLL, HARALSON",Burglary/Breaking & Entering,36,4
"CARROLL, HARALSON",Destruction/Damage/Vandalism of Property,30,5
CATOOSA,Simple Assault,193,1
CATOOSA,Drug/Narcotic Violations,174,2
CATOOSA,All Other Larceny,168,3
CATOOSA,Intimidation,92,4
CATOOSA,Aggravated Assault,54,5
"CATOOSA, WALKER",Shoplifting,160,1
"CATOOSA, WALKER",Drug/Narcotic Violations,90,2
"CATOOSA, WALKER",All Other Larceny,85,3
"CATOOSA, WALKER",Theft From Motor Vehicle,54,4
"CATOOSA, WALKER",Simple Assault,53,5
CHARLTON,Drug/Narcotic Violations,49,1
CHARLTON,Drug Equipment Violations,28,2
CHARLTON,All Other Larceny,9,3
CHARLTON,Shoplifting,6,4
CHARLTON,Destruction/Damage/Vandalism of Property,4,5
CHATHAM,All Other Larceny,297,1
CHATHAM,Shoplifting,283,2
CHATHAM,Simple Assault,266,3
CHATHAM,Theft From Motor Vehicle,235,4
CHATHAM,Drug/Narcotic Violations,201,5
CHATTOOGA,Shoplifting,122,1
CHATTOOGA,Drug/Narcotic Violations,103,2
CHATTOOGA,Simple Assault,99,3
CHATTOOGA,All Other Larceny,94,4
CHATTOOGA,Destruction/Damage/Vandalism of Property,57,5
CHEROKEE,Simple Assault,956,1
CHEROKEE,Drug/Narcotic Violations,736,2
CHEROKEE,All Other Larceny,638,3
CHEROKEE,Destruction/Damage/Vandalism of Property,524,4
CHEROKEE,Shoplifting,489,5
CLARKE,Simple Assault,1521,1
CLARKE,All Other Larceny,1353,2
CLARKE,Shoplifting,710,3
CLARKE,Theft From Motor Vehicle,512,4
CLARKE,Drug/Narcotic Violations,493,5
CLAY,Simple Assault,13,1
CLAY,Destruction/Damage/Vandalism of Property,10,2
CLAY,All Other Larceny,9,3
CLAY,Aggravated Assault,8,4
CLAY,Burglary/Breaking & Entering,8,5
