county_name,offense_name,offense_count,offense_rank
PIERCE,Destruction/Damage/Vandalism of Property,58,3
PIERCE,Intimidation,48,4
PIERCE,All Other Larceny,44,5
"PIERCE, WARE",All Other Larceny,239,1
"PIERCE, WARE",Simple Assault,204,2
"PIERCE, WARE",Shoplifting,198,3
"PIERCE, WARE",Drug/Narcotic Violations,158,4
"PIERCE, WARE",Theft From Motor Vehicle,123,5
PIKE,Simple Assault,52,1
PIKE,Drug/Narcotic Violations,41,2
PIKE,Destruction/Damage/Vandalism of Property,35,3
PIKE,Burglary/Breaking & Entering,22,4
PIKE,False Pretenses/Swindle/Confidence Game,17,5
POLK,All Other Larceny,276,1
POLK,Drug/Narcotic Violations,160,2
POLK,Intimidation,95,3
POLK,Destruction/Damage/Vandalism of Property,79,4
POLK,Simple Assault,78,5
PULASKI,Simple Assault,47,1
PULASKI,All Other Larceny,37,2
PULASKI,Destruction/Damage/Vandalism of Property,30,3
PULASKI,Burglary/Breaking & Entering,16,4
PULASKI,Intimidation,15,5
PUTNAM,Simple Assault,93,1
PUTNAM,All Other Larceny,82,2
PUTNAM,Shoplifting,59,3
PUTNAM,Destruction/Damage/Vandalism of Property,52,4
PUTNAM,Drug/Narcotic Violations,34,5
RABUN,All Other Larceny,59,1
RABUN,Drug/Narcotic Violations,47,2
RABUN,Destruction/Damage/Vandalism of Property,31,3
RABUN,Simple Assault,31,4
RABUN,Intimidation,25,5
RANDOLPH,Simple Assault,8,1
RANDOLPH,Destruction/Damage/Vandalism of Property,5,2
RANDOLPH,Drug/Narcotic Violations,5,3
RANDOLPH,All Other Larceny,3,4
RANDOLPH,Burglary/Breaking & Entering,3,5
RICHMOND,Simple Assault,3702,1
RICHMOND,All Other Larceny,2402,2
RICHMOND,Theft From Motor Vehicle,1536,3
RICHMOND,Burglary/Breaking & Entering,1077,4
RICHMOND,Shoplifting,919,5
ROCKDALE,All Other Larceny,475,1
ROCKDALE,Simple Assault,390,2
ROCKDALE,Destruction/Damage/Vandalism of Property,253,3
ROCKDALE,Shoplifting,201,4
ROCKDALE,False Pretenses/Swindle/Confidence Game,189,5
SCHLEY,All Other Larceny,20,1
SCHLEY,Simple Assault,13,2
SCHLEY,Destruction/Damage/Vandalism of Property,11,3
SCHLEY,Drug/Narcotic Violations,10,4
SCHLEY,Burglary/Breaking & Entering,10,5
SCREVEN,All Other Larceny,9,1
SCREVEN,Simple Assault,8,2
SCREVEN,Shoplifting,3,3
SCREVEN,Burglary/Breaking & Entering,3,4
SCREVEN,Intimidation,3,5
SEMINOLE,Drug/Narcotic Violations,58,1
SEMINOLE,All Other Larceny,24,2
SEMINOLE,Burglary/Breaking & Entering,18,3
SEMINOLE,Simple Assault,12,4
SEMINOLE,Aggravated Assault,11,5
SPALDING,Destruction/Damage/Vandalism of Property,593,1
SPALDING,Simple Assault,556,2
SPALDING,All Other Larceny,432,3
SPALDING,Drug/Narcotic Violations,329,4
SPALDING,Shoplifting,259,5
STEPHENS,All Other Larceny,113,1
STEPHENS,Shoplifting,65,2
STEPHENS,Destruction/Damage/Vandalism of Property,32,3
STEPHENS,Theft From Motor Vehicle,28,4
STEPHENS,Simple Assault,25,5
SUMTER,All Other Larceny,211,1
SUMTER,Theft From Motor Vehicle,161,2
SUMTER,Shoplifting,154,3
SUMTER,Simple Assault,141,4
SUMTER,Aggravated Assault,135,5
TALBOT,Drug/Narcotic Violations,32,1
TALBOT,Destruction/Damage/Vandalism of Property,17,2
TALBOT,Simple Assault,12,3
TALBOT,All Other Larceny,12,4
TALBOT,Intimidation,9,5
TATTNALL,Drug/Narcotic Violations,37,1
TATTNALL,Burglary/Breaking & Entering,35,2
TATTNALL,All Other Larceny,34,3
TATTNALL,Intimidation,24,4
TATTNALL,Simple Assault,23,5
TAYLOR,Burglary/Breaking & Entering,1,1
TELFAIR,All Other Larceny,28,1
TELFAIR,Burglary/Breaking & Entering,18,2
TELFAIR,Simple Assault,15,3
TELFAIR,Aggravated Assault,12,4
TELFAIR,Intimidation,5,5
TERRELL,Burglary/Breaking & Entering,15,1
TERRELL,Aggravated Assault,13,2
TERRELL,Theft From Building,12,3
TERRELL,Simple Assault,10,4
TERRELL,Shoplifting,9,5
THOMAS,Simple Assault,278,1
THOMAS,All Other Larceny,225,2
THOMAS,Shoplifting,221,3
THOMAS,Drug/Narcotic Violations,201,4
THOMAS,Destruction/Damage/Vandalism of Property,176,5
TIFT,Simple Assault,289,1
TIFT,All Other Larceny,177,2
TIFT,Destruction/Damage/Vandalism of Property,174,3
TIFT,Intimidation,145,4
TIFT,False Pretenses/Swindle/Confidence Game,114,5
TOOMBS,Simple Assault,5,1
TOOMBS,Drug/Narcotic Violations,3,2
TOOMBS,False Pretenses/Swindle/Confidence Game,3,3
TOOMBS,Burglary/Breaking & Entering,2,4
TOOMBS,Destruction/Damage/Vandalism of Property,1,5
TOWNS,Drug/Narcotic Violations,39,1
TOWNS,Drug Equipment Violations,22,2
TOWNS,Simple Assault,14,3
TOWNS,Aggravated Assault,6,4
TOWNS,Intimidation,4,5
TREUTLEN,All Other Larceny,18,1
TREUTLEN,Intimidation,12,2
TREUTLEN,Simple Assault,12,3
TREUTLEN,Aggravated Assault,11,4
TREUTLEN,Destruction/Damage/Vandalism of Property,8,5
TROUP,Simple Assault,911,1
TROUP,All Other Larceny,737,2
TROUP,Shoplifting,518,3
TROUP,Destruction/Damage/Vandalism of Property,458,4
TROUP,Drug/Narcotic Violations,305,5
TURNER,All Other Larceny,15,1
TURNER,Destruction/Damage/Vandalism of Property,14,2
TURNER,Burglary/Breaking & Entering,10,3
TURNER,Intimidation,10,4
TURNER,Drug/Narcotic Violations,9,5
TWIGGS,Drug/Narcotic Violations,123,1
TWIGGS,All Other Larceny,24,2
TWIGGS,Simple Assault,15,3
TWIGGS,Motor Vehicle Theft,15,4
TWIGGS,Burglary/Breaking & Entering,14,5
UNION,Drug/Narcotic Violations,63,1
UNION,All Other Larceny,32,2
UNION,False Pretenses/Swindle/Confidence Game,20,3
UNION,Intimidation,16,4
UNION,Burglary/Breaking & Entering,15,5
UPSON,All Other Larceny,84,1
UPSON,Shoplifting,73,2
UPSON,Drug/Narcotic Violations,62,3
UPSON,Simple Assault,40,4
UPSON,Theft From Motor Vehicle,39,5
WALKER,Simple Assault,11,1
WALKER,All Other Larceny,11,2
WALKER,Intimidation,7,3
WALKER,Drug/Narcotic Violations,4,4
WALKER,Destruction/Damage/Vandalism of Property,3,5
WALTON,Drug/Narcotic Violations,229,1
WALTON,Simple Assault,221,2
WALTON,False Pretenses/Swindle/Confidence Game,178,3
WALTON,Destruction/Damage/Vandalism of Property,128,4
WALTON,All Other Larceny,107,5
WARE,Drug/Narcotic Violations,91,1
WARE,Simple Assault,69,2
WARE,Destruction/Damage/Vandalism of Property,39,3
WARE,All Other Larceny,37,4
WARE,Burglary/Breaking & Entering,35,5
WASHINGTON,Simple Assault,27,1
WASHINGTON,All Other Larceny,18,2
WASHINGTON,Shoplifting,14,3
WASHINGTON,Aggravated Assault,11,4
WASHINGTON,Destruction/Damage/Vandalism of Property,7,5
WAYNE,Simple Assault,33,1
WAYNE,Destruction/Damage/Vandalism of Property,17,2
WAYNE,Drug/Narcotic Violations,15,3
WAYNE,Intimidation,14,4
WAYNE,All Other Larceny,14,5
WHEELER,Simple Assault,20,1
WHEELER,Destruction/Damage/Vandalism of Property,16,2
WHEELER,All Other Larceny,15,3
WHEELER,Burglary/Breaking & Entering,12,4
WHEELER,Intimidation,10,5
WHITE,Drug/Narcotic Violations,117,1
WHITE,All Other Larceny,66,2
WHITE,Shoplifting,37,3
WHITE,Destruction/Damage/Vandalism of Property,33,4
WHITE,Simple Assault,29,5
WHITFIELD,Simple Assault,594,1
WHITFIELD,Drug/Narcotic Violations,515,2
WHITFIELD,All Other Larceny,484,3
WHITFIELD,Destruction/Damage/Vandalism of Property,454,4
WHITFIELD,Intimidation,359,5
WILCOX,Simple Assault,7,1
WILCOX,Intimidation,5,2
WILCOX,All Other Larceny,5,3
WILCOX,Drug/Narcotic Violations,4,4
WILCOX,Burglary/Breaking & Entering,3,5
WILKES,Destruction/Damage/Vandalism of Property,52,1
WILKES,Drug/Narcotic Violations,37,2
WILKES,All Other Larceny,35,3
WILKES,Simple Assault,35,4
WILKES,Aggravated Assault,25,5
WORTH,Drug/Narcotic Violations,96,1
WORTH,Destruction/Damage/Vandalism of Property,60,2
WORTH,All Other Larceny,59,3
WORTH,Simple Assault,58,4
WORTH,Intimidation,43,5
